Order ID,Amount,Profit,Quantity
B-25601,1429,-1218,19
B-25602,3889,975,22
B-25603,2025,-180,25
B-25604,222,22,11
B-25605,75,0,7
B-25606,87,4,2
B-25607,50,15,4
B-25608,2953,-1456,19
B-25609,510,24,8
B-25610,2105,-746,24
B-25611,160,-59,2
B-25612,259,-55,2
B-25613,1603,0,9
B-25614,592,42,6
B-25615,68,20,5
B-25616,194,-48,16
B-25617,305,-270,5
B-25618,374,127,3
B-25619,353,90,8
B-25620,193,46,1
B-25621,794,38,11
B-25622,534,0,3
B-25623,465,3,13
B-25624,26,12,3
B-25625,791,-290,10
B-25626,1149,-290,4
B-25627,55,-39,4
B-25628,104,-4,10
B-25629,1560,421,3
B-25630,506,-211,21
B-25631,89,-89,2
B-25632,19,-2,2
B-25633,1456,-217,10
B-25634,389,-83,3
B-25635,445,48,8
B-25636,637,113,5
B-25637,117,14,3
B-25638,2032,29,17
B-25639,1629,-153,3
B-25640,504,-348,19
B-25641,22,-6,1
B-25642,434,26,11
B-25643,1447,-173,17
B-25644,76,-92,8
B-25645,675,-195,14
B-25646,20,-8,2
B-25647,42,-6,4
B-25648,315,-77,10
B-25649,27,-25,2
B-25650,2810,-799,31
B-25651,1802,-237,28
B-25652,493,-324,27
B-25653,4434,-406,45
B-25654,1384,-182,21
B-25655,1055,-489,39
B-25656,3895,1021,43
B-25657,1673,-293,19
B-25658,27,9,2
B-25659,148,72,7
B-25660,245,-78,3
B-25661,508,-276,17
B-25662,495,-100,14
B-25663,294,138,2
B-25664,1570,-223,9
B-25665,166,-113,4
B-25666,934,-916,7
B-25667,1942,245,24
B-25668,123,17,3
B-25669,610,-66,2
B-25670,768,-4,8
B-25671,832,0,3
B-25672,27,-15,1
B-25673,285,-149,18
B-25674,17,-12,5
B-25675,929,-93,9
B-25676,2390,-304,18
B-25677,20,-2,1
B-25678,425,-74,8
B-25679,76,-50,1
B-25680,73,-25,3
B-25681,3599,-575,23
B-25682,545,-73,11
B-25683,1067,76,21
B-25684,134,42,2
B-25685,889,112,12
B-25686,2542,-572,11
B-25687,826,-48,15
B-25688,352,-345,5
B-25689,715,-406,8
B-25690,31,10,3
B-25691,806,22,10
B-25692,141,28,7
B-25693,975,-535,30
B-25694,167,43,7
B-25695,171,14,9
B-25696,1607,-207,17
B-25697,1995,-292,24
B-25698,909,-652,23
B-25699,124,-71,9
B-25700,180,-110,10
B-25701,174,-94,12
B-25702,1777,-370,22
B-25703,674,-449,39
B-25704,228,-63,6
B-25705,46,0,2
B-25706,31,-11,4
B-25707,8,-6,1
B-25708,1013,-146,22
B-25709,74,-18,8
B-25710,933,-134,23
B-25711,100,-58,4
B-25712,193,-275,3
B-25713,158,-63,4
B-25714,351,15,9
B-25715,416,137,3
B-25716,58,0,4
B-25717,844,193,13
B-25718,831,146,4
B-25719,29,10,2
B-25720,30,-35,1
B-25721,369,-7,14
B-25722,48,-8,8
B-25723,130,-97,8
B-25724,168,-51,2
B-25725,193,-17,13
B-25726,490,-128,8
B-25727,384,66,10
B-25728,2148,-273,10
B-25729,1549,-439,4
B-25730,2002,-685,21
B-25731,131,-154,8
B-25732,16,-5,2
B-25733,96,-59,13
B-25734,108,-19,3
B-25735,34,-10,6
B-25736,31,-7,5
B-25737,187,-15,3
B-25738,1359,-111,13
B-25739,133,-56,2
B-25740,105,-45,7
B-25741,482,-6,7
B-25742,11,-8,2
B-25743,785,-236,15
B-25744,373,-254,6
B-25745,1142,-297,24
B-25746,87,16,2
B-25747,877,395,2
B-25748,420,46,11
B-25749,1052,-82,3
B-25750,1213,-278,32
B-25751,1136,-58,25
B-25752,3065,241,38
B-25753,1500,-235,47
B-25754,845,-676,31
B-25755,3205,354,28
B-25756,2070,-870,18
B-25757,3912,55,47
B-25758,8,-2,1
B-25759,20,-9,6
B-25760,322,-193,5
B-25761,3339,984,28
B-25762,1441,-528,12
B-25763,58,-52,3
B-25764,934,-134,11
B-25765,139,14,3
B-25766,220,-19,2
B-25767,459,-121,12
B-25768,1582,-443,6
B-25769,355,-4,2
B-25770,1071,48,18
B-25771,148,59,3
B-25772,1183,106,4
B-25773,790,-257,14
